WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Suda,RU,59.1525,37.5582,39.31,93,83,5.1,broken clouds
80,Maniitsoq,GL,65.4167,-52.9,25.48,80,1,3.94,clear sky
81,Nikolayevsk-Na-Amure,RU,53.1406,140.73,36.66,94,84,12.55,broken clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,73.56,89,99,8.59,overcast clouds
83,Zamora,EC,-4.0692,-78.9567,68.86,99,86,0.54,light rain
84,Yulara,AU,-25.2406,130.9889,55.24,47,0,16.11,clear sky
85,Kidal,ML,18.4411,1.4078,88.97,18,99,9.01,overcast clouds
86,Hasaki,JP,35.7333,140.8333,68.4,80,99,10.69,overcast clouds
87,Saint-Laurent-Du-Var,FR,43.671,7.1761,62.74,74,75,6.91,broken clouds
88,Ishinomaki,JP,38.4167,141.3,66.2,80,2,9.51,clear sky
89,Buraydah,SA,26.326,43.975,73.85,26,0,11.74,clear sky
90,Cidreira,BR,-30.1811,-50.2056,62.51,68,57,1.63,broken clouds
91,Constitucion,CL,-35.3333,-72.4167,54.99,82,1,11.23,clear sky
92,Ponta Do Sol,PT,32.6667,-17.1,68.63,53,61,3.94,broken clouds
93,Belmonte,BR,-15.8631,-38.8828,76.51,78,72,7.29,broken clouds
94,Mobai,SL,7.9944,-10.7511,74.25,93,43,2.68,scattered clouds
95,Hermanus,ZA,-34.4187,19.2345,54.81,86,100,8.03,moderate rain
96,Pitimbu,BR,-7.4706,-34.8086,73.99,85,38,12.06,light rain
97,Deep River,CA,46.1001,-77.4995,48.67,33,5,7.9,clear sky
98,Huarmey,PE,-10.0681,-78.1522,66.29,85,6,8.66,clear sky
99,Bredasdorp,ZA,-34.5322,20.0403,56.53,90,100,1.28,light rain
100,Wismar,DE,53.9,11.4667,50.4,90,37,7.18,scattered clouds
101,Vanimo,PG,-2.6741,141.3028,84.63,71,67,6.64,broken clouds
102,Matagami,CA,49.7502,-77.6328,41.11,36,0,8.05,clear sky
103,Ilulissat,GL,69.2167,-51.1,24.82,68,20,0.0,few clouds
104,Vestmannaeyjar,IS,63.4427,-20.2734,41.54,65,67,15.08,broken clouds
105,Cabo San Lucas,MX,22.8909,-109.9124,82.71,44,0,12.66,clear sky
106,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.72,97,63,2.95,broken clouds
107,Ekibastuz,KZ,51.6667,75.3667,44.56,51,97,10.96,light rain
108,Verin,ES,41.9415,-7.4381,60.57,68,47,2.3,scattered clouds
109,Hobyo,SO,5.3505,48.5268,81.9,84,10,18.97,clear sky
110,Carnarvon,AU,-24.8667,113.6333,64.47,52,100,9.22,overcast clouds
111,Lagoa,PT,39.05,-27.9833,60.3,68,16,4.99,few clouds
112,San Patricio,US,28.017,-97.5169,91.18,64,1,17.98,clear sky
113,Salinas,US,36.6777,-121.6555,76.01,63,20,13.8,few clouds
114,Dikson,RU,73.5069,80.5464,19.06,94,100,14.29,light snow
115,Weyburn,CA,49.6668,-103.8511,73.26,24,7,16.2,clear sky
116,Namibe,AO,-15.1961,12.1522,74.53,68,0,2.55,clear sky
117,Kroonstad,ZA,-27.6504,27.2349,54.28,43,0,3.69,clear sky
118,Bulgan,MN,48.8125,103.5347,41.72,75,100,4.16,overcast clouds
119,Bethanien,NA,-26.502,17.1583,53.87,64,2,6.53,clear sky
120,Kitimat,CA,54.0524,-128.6534,51.91,62,88,3.0,light rain
121,Tahta,EG,26.7693,31.5021,68.86,28,0,8.68,clear sky
122,Mporokoso,ZM,-9.3727,30.125,59.11,92,59,5.55,broken clouds
123,Nelson Bay,AU,-32.7167,152.15,60.12,56,36,4.0,scattered clouds
124,Chokurdakh,RU,70.6333,147.9167,23.99,89,100,3.85,overcast clouds
125,Leningradskiy,RU,69.3833,178.4167,23.13,90,100,8.88,overcast clouds
126,Sabang,ID,5.8933,95.3214,83.35,72,100,19.42,overcast clouds
127,Nome,US,64.5011,-165.4064,36.16,80,100,13.8,overcast clouds
128,Rantauprapat,ID,2.1,99.8333,76.89,85,100,2.35,overcast clouds
129,Kavaratti,IN,10.5669,72.642,84.72,71,93,11.92,overcast clouds
130,Hobart,AU,-42.8794,147.3294,51.66,89,75,11.5,heavy intensity shower rain
131,Kudahuvadhoo,MV,2.6708,72.8944,83.77,76,52,13.67,broken clouds
132,Wembley,AU,-31.9333,115.8,61.0,51,0,11.5,clear sky
133,Nishihara,JP,26.1842,127.7558,76.28,94,100,16.11,overcast clouds
134,Constantine,DZ,36.365,6.6147,51.21,76,40,11.5,scattered clouds
135,Chadan,RU,51.2833,91.5833,52.48,51,56,1.39,broken clouds
136,Jamestown,US,42.097,-79.2353,55.02,84,100,13.8,overcast clouds
137,Qasigiannguit,GL,68.8193,-51.1922,25.05,87,9,3.71,clear sky
138,Taoudenni,ML,22.6783,-3.9836,88.11,12,1,4.94,clear sky
139,Siocon,PH,7.7061,122.1353,83.23,76,75,4.61,broken clouds
140,Butaritari,KI,3.0707,172.7902,82.04,71,98,11.54,overcast clouds
141,Pontian Kecil,MY,1.4801,103.3899,77.32,90,100,4.68,moderate rain
142,Jilib,SO,0.4883,42.7854,75.02,95,95,6.38,light rain
143,Sitka,US,57.0531,-135.33,48.09,66,40,5.75,scattered clouds
144,Fereydun Kenar,IR,36.6864,52.5225,61.14,87,95,13.35,light rain
145,Bell Ville,AR,-32.6259,-62.6887,63.07,61,73,8.5,broken clouds
146,Teya,RU,60.3778,92.6267,44.24,74,63,7.45,broken clouds
147,Pop,UZ,40.8736,71.1089,66.69,59,6,4.14,clear sky
148,Parana,AR,-31.732,-60.5238,66.56,90,96,7.49,overcast clouds
149,Salalah,OM,17.0151,54.0924,82.49,83,20,1.14,few clouds
150,Balabac,PH,7.9868,117.0645,84.65,74,38,14.07,scattered clouds
151,Venustiano Carranza,MX,19.43,-99.0992,80.58,21,100,11.5,thunderstorm
152,Fairbanks,US,64.8378,-147.7164,51.76,66,100,11.5,light rain
153,Acapulco,MX,16.8634,-99.8901,82.22,74,40,6.91,scattered clouds
154,Shenkursk,RU,62.1091,42.896,40.73,82,89,8.3,overcast clouds
155,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,78,20,5.75,few clouds
156,Aksu,CN,41.1231,80.2644,69.73,42,82,11.12,broken clouds
157,Tiksi,RU,71.6872,128.8694,18.14,84,94,22.17,overcast clouds
158,Batagay,RU,67.6333,134.6333,29.82,79,89,5.12,overcast clouds
159,Qingdao,CN,36.0986,120.3719,58.6,67,100,8.95,overcast clouds
160,Castro,BR,-24.7911,-50.0119,53.58,93,6,4.09,clear sky
161,Phalaborwa,ZA,-23.943,31.1411,63.68,49,0,2.84,clear sky
162,Kamenka,RU,51.3223,42.7678,39.07,60,2,6.08,clear sky
163,East London,ZA,-33.0153,27.9116,67.64,75,92,12.53,overcast clouds
164,Nouadhibou,MR,20.931,-17.0347,66.18,82,0,13.8,clear sky
165,Thompson,CA,55.7435,-97.8558,60.96,51,75,10.36,broken clouds
166,Providencia,MX,28.7167,-111.5833,98.2,22,0,9.4,clear sky
167,Mbaiki,CF,3.8678,17.9892,71.47,97,98,1.66,overcast clouds
168,Vila Velha,BR,-20.3297,-40.2925,76.95,69,75,12.66,broken clouds
169,Hamilton,US,39.1834,-84.5333,63.23,95,100,9.22,mist
170,Udachnyy,RU,66.4167,112.4,28.45,68,100,3.87,overcast clouds
171,Mabaruma,GY,8.2,-59.7833,74.59,95,100,2.84,overcast clouds
172,Nalut,LY,30.3333,10.85,62.85,60,0,11.36,clear sky
173,Provideniya,RU,64.3833,-173.3,34.48,70,16,8.39,few clouds
174,Cortez,US,37.3489,-108.5859,79.56,10,0,11.5,clear sky
175,Concepcion Del Oro,MX,24.6333,-101.4167,82.71,10,13,17.07,few clouds
176,Lorengau,PG,-2.0226,147.2712,85.59,72,88,9.98,overcast clouds
177,Coruripe,BR,-10.1256,-36.1756,76.89,83,26,7.94,scattered clouds
178,Haines Junction,CA,60.7522,-137.5108,46.35,31,95,10.36,overcast clouds
179,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,4.61,overcast clouds
180,Paris,FR,48.8534,2.3488,59.18,70,0,9.22,clear sky
181,Longyearbyen,SJ,78.2186,15.6401,21.04,73,40,1.14,scattered clouds
182,Lins,BR,-21.6786,-49.7425,62.02,73,0,7.25,clear sky
183,Taganak,PH,6.0833,118.3,84.34,80,82,6.42,broken clouds
184,Bubaque,GW,11.2833,-15.8333,78.01,74,15,16.35,few clouds
185,Tuckahoe,US,37.5901,-77.5564,66.34,92,100,6.91,mist
186,Guasdualito,VE,7.2424,-70.7324,78.8,94,40,3.44,scattered clouds
187,Sorland,NO,67.667,12.6934,40.91,81,65,42.32,broken clouds
188,Yumen,CN,40.2833,97.2,55.76,13,100,11.86,overcast clouds
189,Yar-Sale,RU,66.8333,70.8333,6.12,95,58,10.0,broken clouds
190,Saskylakh,RU,71.9167,114.0833,16.25,86,86,20.45,overcast clouds
191,Chilca,PE,-12.5211,-76.7372,64.69,91,4,7.14,clear sky
192,Krasnoselkup,RU,65.7,82.4667,22.62,85,100,24.56,overcast clouds
193,Erenhot,CN,43.6475,111.9767,43.39,17,100,21.09,overcast clouds
194,Jaroslaw,PL,50.0162,22.6778,55.8,95,98,4.65,overcast clouds
195,Palafrugell,ES,41.9174,3.1631,66.43,60,82,11.61,broken clouds
196,Gilgit,PK,35.9221,74.3087,66.58,53,16,2.3,few clouds
197,Tromso,NO,69.6496,18.957,42.82,65,100,27.63,light rain
198,Dinguiraye,GN,11.3,-10.7167,83.39,39,51,3.53,broken clouds
199,Priargunsk,RU,50.3691,119.1012,51.06,19,1,12.97,clear sky
200,Mocuba,MZ,-16.8392,36.9856,64.08,98,2,3.13,clear sky
201,Kulu,TR,39.0951,33.0799,43.09,75,35,8.03,scattered clouds
202,Henties Bay,NA,-22.116,14.2845,58.91,89,0,9.93,clear sky
203,Port Lincoln,AU,-34.7333,135.8667,57.38,64,20,8.84,few clouds
204,Paamiut,GL,61.994,-49.6678,31.12,97,86,1.86,overcast clouds
205,Vaitape,PF,-16.5167,-151.75,81.64,73,2,4.34,clear sky
206,Flin Flon,CA,54.7682,-101.865,54.01,85,100,10.22,overcast clouds
207,Manado,ID,1.487,124.8455,84.97,84,40,3.44,scattered clouds
208,Deputatskiy,RU,69.3,139.9,22.93,89,94,4.27,overcast clouds
209,Riyadh,SA,24.6877,46.7219,80.74,28,33,6.8,scattered clouds
210,Tessalit,ML,20.1986,1.0114,86.88,17,100,8.01,overcast clouds
211,Chernyshevskiy,RU,63.0128,112.4714,37.81,81,97,4.74,overcast clouds
212,Talnakh,RU,69.4865,88.3972,13.21,95,99,2.37,overcast clouds
213,Teguldet,RU,57.3064,88.1667,53.55,35,100,18.28,overcast clouds
214,Samarai,PG,-10.6167,150.6667,83.82,76,18,10.07,few clouds
215,Clyde River,CA,70.4692,-68.5914,16.97,93,47,6.31,scattered clouds
216,Akyab,MM,20.15,92.9,81.28,73,16,4.81,few clouds
217,Klaksvik,FO,62.2266,-6.589,32.92,62,59,7.74,broken clouds
